"associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","collectionCode","coordinatePrecision","decimalLatitude","decimalLongitude","identifiedBy","institutionCode","locality","maximumDepthInMeters","minimumDepthInMeters","occurrenceRemarks","scientificName","scientificNameAuthorship","scientificNameID","verbatimDepth","waterBody","id","dataset_id","node_id","depth","dropped","absence","marine","brackish","superdomain","kingdom","phylum","class","subclass","order","superfamily","family","genus","species","superdomainid","kingdomid","phylumid","classid","subclassid","orderid","superfamilyid","familyid","genusid","speciesid","aphiaID","originalScientificName","flags","bathymetry","shoredistance","sst","sss","day","dynamicProperties","eventDate","individualCount","month","preparations","year","date_start","date_mid","date_end","date_year","occurrenceID","occurrenceStatus","ownerInstitutionCode","references","collectionID","coordinateUncertaintyInMeters","footprintWKT","typeStatus","continent","country","datasetID","fieldNumber","modified","specificEpithet","datasetName","lifeStage","locationID","otherCatalogNumbers","sex","recordedBy","stateProvince"
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_G1","B89PII","260010.0",27.3733863831,-97.3691329956,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","WNW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","02640991-09df-4ffd-ab29-c16def885ee7","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH,ON_LAND",2,-4875,24.07,34.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","709480.450467","Invertebrate Zoology: Mollusks",NA,6.16699981689,-125.983001709,NA,"USNM",NA,204,204,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"North Pacific Ocean","0379d505-4c13-4c2e-9898-8e3f4eaafeed","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",204,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,4283,1820539,27.41,34.56,"26","observedindividualcount=1;","1967-02-26T12:00:00Z","1.0","2","Alcohol (Ethanol)","1967",-8.9856e+10,-8.9856e+10,-8.9856e+10,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HumanObservation",NA,"105475",NA,NA,-19.678333,63.420277,NA,"CMLRE","Rodrigues Island",NA,NA,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,NA,"09836f23-780a-4039-819b-ca2976e514c8","767e6320-6d7f-449e-ace5-d586c3c17c9c","1a3b0f1a-4474-4d73-9ee1-d28f92a83996",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",-3,184,25.72,34.98,NA,NA,"1817",NA,NA,NA,NA,-4828204800000,-4.81248e+12,-4796755200000,1817,"36546","present","NIO","This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_E1","B89PII","542540.0",18.211057663,-94.1317977905,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","SSW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","0cc17664-f333-41a0-828e-09fe5cdaed8f","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH,ON_LAND",-7,-240,26.97,34.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848010.513176","Invertebrate Zoology: Mollusks",NA,15.9983301163,-101.150001526,NA,"USNM",NA,NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"North Pacific Ocean","0d156cca-67bf-4e19-a58e-fe78ba7f7c68","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","NO_DEPTH",3630,136382,29.1,33.65,NA,"observedindividualcount=1;",NA,"1.0",NA,"Formalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sameer Sarfraj Terdalkar.2000.Studies on the role of physico-chemical factors on microfauna with special reference to zooplankton in Bay of Bengal and in and around Andaman Sea.PhD thesis,Goa University,India","HumanObservation",NA,NA,NA,NA,9.1103,83.7404,NA,"CMLRE",NA,NA,NA,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,"Bay of Bengal, Andaman Sea & Central Indian Ocean","0ebc7889-eeef-4ae0-8792-324dec0c178e","a4257cff-3c2c-4a60-ab29-91f65545bb08","1a3b0f1a-4474-4d73-9ee1-d28f92a83996",NA,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",3722,270462,28.96,33.69,NA,NA,"1961/1965",NA,NA,NA,NA,-283996800000,-2.052e+11,-126316800000,1963,"95612","present",NA,NA,"IndOBIS Dataset","1429063","POLYGON ((74.09180 0.57128, 81.38672 -2.72358, 95.97656 12.12526, 87.36328 20.92040, 80.33203 14.26438, 74.09180 0.57128))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_H2","B89PII","277700.0",29.0193500519,-92.6140518188,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","NNW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","106a8021-7d79-4189-ab8f-6535bc8a4893","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH",25,61797,24.1,32.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HumanObservation",NA,"105475","INDOBIS-DATASET1",NA,-19.6783332825,63.4202766418,NA,"NCL","Rodrigues Island",NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"13dc807f-12ff-4cc8-b655-2a9ff083c4fd","d0d2a510-ba24-487b-80ca-afc86922cb1c","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",-3,184,25.72,34.98,NA,NA,"1817-07-02T12:00:00Z",NA,NA,NA,NA,-4.81248e+12,-4.81248e+12,-4.81248e+12,1817,NA,NA,NA,NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11460","Zooplankton of Lebanon",NA,33.983333333,35.483333333,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"1b8951c2-86f1-477f-9dc9-e30c9bf3baf6","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,766.4,8642,23.01,39.05,NA,NA,"1968-07/1972-10",NA,NA,NA,NA,-47433600000,20908800000,89337600000,1970,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11460","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","C2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11457","Zooplankton of Lebanon",NA,33.933333333,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"1d6531aa-323b-47ca-8c48-579d032d0022","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,191,2879,23.02,39.06,NA,NA,"1970-07/1972-10",NA,NA,NA,NA,15638400000,52444800000,89337600000,1971,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11457","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","H2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
